,CASENUM,VEH_NO,MDRDSTRDNAME
62431,201901878560,1,Not Reported
62432,201901878565,1,"Inattention (Inattentive), Details Unknown"
62433,201901878565,2,Not Reported
62434,201901878583,1,While Using or Reaching for Device/Object Brought into Vehicle
62435,201901878583,2,Not Reported
62436,201901878585,1,Not Reported
62437,201901878585,2,Not Reported
62438,201901878585,3,Not Reported
62439,201901878593,1,Not Reported
62440,201901878593,2,Not Reported
62441,201901878624,1,Not Reported
62442,201901878627,1,Not Reported
62443,201901878627,2,Not Reported
62444,201901878642,1,Not Reported
62445,201901878642,2,Not Reported
62446,201901878646,1,Not Reported
62447,201901878673,1,Not Reported
62448,201901878673,2,Not Reported
62449,201901878673,3,Not Reported
62450,201901878687,1,Not Reported
62451,201901878687,2,Not Distracted
62452,201901878696,1,Reported as Unknown if Distracted
62453,201901878702,1,Not Distracted
62454,201901878702,2,Not Reported
62455,201901878715,1,Not Reported
62456,201901878715,2,Not Reported
62457,201901878716,1,Not Reported
62458,201901878716,2,Not Reported
62459,201901878748,1,Reported as Unknown if Distracted
62460,201901878748,2,Reported as Unknown if Distracted
62461,201901878763,1,Not Reported
62462,201901878769,1,Not Reported
62463,201901878769,2,Not Reported
62464,201901878770,1,"Distracted by Outside Person, Object or Event"
62465,201901878773,1,Not Reported
62466,201901878773,2,Not Reported
62467,201901878797,1,Not Reported
62468,201901878797,2,Not Reported
62469,201901878801,1,Not Reported
62470,201901878801,2,Not Reported
62471,201901878806,1,Not Reported
62472,201901878806,2,Not Reported
62473,201901878827,1,Not Reported
62474,201901878827,2,Not Reported
62475,201901878840,1,Not Reported
62476,201901878857,1,Not Reported
62477,201901878857,2,Not Reported
62478,201901878861,1,Not Reported
62479,201901878861,2,Not Reported
62480,201901878890,1,Not Reported
62481,201901878890,2,Not Reported
62482,201901878910,1,Not Reported
62483,201901878910,2,Not Reported
62484,201901878931,1,Not Reported
62485,201901878938,1,Not Reported
62486,201901878938,2,Not Reported
62487,201901878946,1,Not Reported
62488,201901878946,2,Not Reported
62489,201901878952,1,Not Reported
62490,201901878952,2,Not Reported
62491,201901878960,1,Not Reported
62492,201901878960,2,Not Reported
62493,201901878985,1,Not Reported
62494,201901878985,2,Not Reported
62495,201901878988,1,Not Reported
62496,201901878994,1,Not Reported
62497,201901878994,2,Not Reported
62498,201901879005,1,Not Reported
62499,201901879005,2,Not Distracted
62500,201901879009,1,Not Reported
62501,201901879009,2,Not Reported
62502,201901879016,1,Not Reported
62503,201901879016,2,Not Reported
62504,201901879035,1,Not Reported
62505,201901879035,2,Not Reported
62506,201901879059,1,Not Reported
62507,201901879059,2,Not Reported
62508,201901879060,1,"Distraction (Distracted), Details Unknown"
62509,201901879060,2,Not Reported
62510,201901879069,1,Not Reported
62511,201901879069,2,Not Reported
62512,201901879069,3,Not Reported
62513,201901879105,1,Not Distracted
62514,201901879105,2,Not Reported
62515,201901879105,3,Not Reported
62516,201901879111,1,Not Reported
62517,201901879111,2,Not Reported
62518,201901879124,1,Not Reported
62519,201901879124,2,Not Reported
62520,201901879125,1,Not Reported
62521,201901879125,2,Not Reported
62522,201901879130,1,Not Reported
62523,201901879130,2,Not Reported
62524,201901879142,1,"Distracted by Outside Person, Object or Event"
62525,201901879167,1,Not Distracted
62526,201901879182,1,Not Distracted
62527,201901879190,1,Not Reported
62528,201901879190,2,Not Reported
62529,201901879193,1,Not Reported
62530,201901879193,2,Not Reported
62531,201901879194,1,Not Distracted
62532,201901879201,1,Not Distracted
62533,201901879201,2,Not Distracted
62534,201901879209,1,Not Distracted
62535,201901879209,2,Not Distracted
62536,201901879217,1,Not Distracted
62537,201901879217,2,Not Distracted
62538,201901879221,1,Not Distracted
62539,201901879221,2,Not Distracted
62540,201901879225,1,Not Reported
62541,201901879225,2,Not Reported
62542,201901879236,1,Not Distracted
62543,201901879236,2,Not Distracted
62544,201901879237,1,Not Reported
62545,201901879237,2,Not Reported
62546,201901879265,1,Distraction/Inattention
62547,201901879265,2,Not Reported
62548,201901879270,1,"Distraction (Distracted), Details Unknown"
62549,201901879270,2,Not Reported
62550,201901879272,1,Not Reported
62551,201901879272,2,Not Reported
62552,201901879310,1,Not Reported
62553,201901879310,2,Not Reported
62554,201901879330,1,Not Reported
62555,201901879393,1,Distraction/Inattention
62556,201901879395,1,Not Reported
62557,201901879395,2,Not Reported
62558,201901879405,1,Not Reported
62559,201901879405,2,Not Distracted
62560,201901879412,1,Not Reported
62561,201901879412,2,Not Reported
62562,201901879428,1,Not Reported
62563,201901879428,2,Not Reported
62564,201901879439,1,Not Reported
62565,201901879439,2,Not Reported
62566,201901879443,1,Distraction/Inattention
62567,201901879447,1,Not Reported
62568,201901879463,1,Not Reported
62569,201901879466,1,Not Reported
62570,201901879466,2,Not Reported
62571,201901879472,1,Not Reported
62572,201901879475,1,Distraction/Inattention
62573,201901879475,2,Not Reported
62574,201901879479,1,Not Reported
62575,201901879479,2,Not Reported
62576,201901879490,1,Not Reported
62577,201901879497,1,Distraction/Inattention
62578,201901879504,2,Not Reported
62579,201901879506,1,Not Reported
62580,201901879509,1,Not Reported
62581,201901879509,2,Not Reported
62582,201901879517,1,Not Reported
62583,201901879522,1,Not Distracted
62584,201901879522,2,Not Distracted
62585,201901879528,1,Not Distracted
62586,201901879545,1,Not Reported
62587,201901879547,1,Not Distracted
62588,201901879570,1,Not Reported
62589,201901879570,2,Not Reported
62590,201901879582,1,Not Reported
62591,201901879585,1,Not Reported
62592,201901879587,1,"Distraction (Distracted), Details Unknown"
62593,201901879588,1,Not Distracted
62594,201901879588,2,Not Reported
62595,201901879595,1,Not Reported
62596,201901879598,1,Not Reported
62597,201901879599,1,Not Reported
62598,201901879616,1,Not Reported
62599,201901879616,2,Not Reported
62600,201901879620,1,Not Reported
62601,201901879621,1,Not Reported
62602,201901879722,1,Not Distracted
62603,201901879722,2,Not Distracted
62604,201901879722,3,Not Distracted
62605,201901879783,1,Not Distracted
62606,201901879783,2,Not Distracted
62607,201901879833,1,Not Distracted
62608,201901879833,2,Not Distracted
62609,201901880032,1,Not Distracted
62610,201901880032,2,Not Distracted
62611,201901880137,1,Not Reported
62612,201901880137,2,Not Reported
62613,201901880226,1,Not Reported
62614,201901880226,2,Not Reported
62615,201901880236,1,Not Reported
62616,201901880315,1,Not Distracted
62617,201901880315,2,Not Distracted
62618,201901880384,1,Not Distracted
62619,201901880444,1,Reported as Unknown if Distracted
62620,201901880444,2,Not Distracted
62621,201901880455,1,Not Reported
62622,201901880455,2,Not Reported
62623,201901880464,1,"Inattention (Inattentive), Details Unknown"
62624,201901880464,2,Not Distracted
62625,201901880581,1,Not Distracted
62626,201901880581,2,Not Distracted
62627,201901880593,1,Not Distracted
62628,201901880620,1,Not Distracted
62629,201901880623,1,"Inattention (Inattentive), Details Unknown"
62630,201901880623,2,Not Distracted
62631,201901880629,1,Not Distracted
62632,201901880629,2,Not Distracted
62633,201901880649,1,Reported as Unknown if Distracted
62634,201901880649,2,Reported as Unknown if Distracted
62635,201901880649,3,Reported as Unknown if Distracted
62636,201901880649,4,Reported as Unknown if Distracted
62637,201901880693,1,While Using or Reaching for Device/Object Brought into Vehicle
62638,201901880693,2,Not Distracted
62639,201901880693,3,Not Distracted
62640,201901880697,1,Lost in Thought / Day dreaming
62641,201901880702,1,Not Distracted
62642,201901880707,1,"Inattention (Inattentive), Details Unknown"
62643,201901880707,2,Not Distracted
62644,201901880711,1,Not Reported
62645,201901880715,1,Not Distracted
62646,201901880742,1,Not Distracted
62647,201901880794,1,Not Distracted
62648,201901880794,2,Not Distracted
62649,201901880815,1,"Distraction (Distracted), Details Unknown"
62650,201901880826,1,Not Distracted
62651,201901880826,2,Not Distracted
62652,201901880826,3,Reported as Unknown if Distracted
62653,201901880831,1,Not Distracted
62654,201901880844,1,Not Distracted
62655,201901880844,2,Not Distracted
62656,201901880844,3,Not Distracted
62657,201901880844,4,Not Distracted
62658,201901880858,1,Not Reported
62659,201901880876,1,Not Reported
62660,201901880904,1,While Manipulating Mobile Phone
62661,201901880915,1,Not Distracted
62662,201901880917,1,Not Reported
62663,201901880918,1,Not Reported
62664,201901880918,2,Not Reported
62665,201901880919,1,"Distracted by Outside Person, Object or Event"
62666,201901880921,1,Not Reported
62667,201901880921,2,Not Reported
62668,201901880923,1,Not Reported
62669,201901880926,1,Not Reported
62670,201901880926,2,Not Reported
62671,201901880972,1,Not Reported
62672,201901880972,2,Not Reported
62673,201901880991,1,Not Reported
62674,201901880991,2,Not Reported
62675,201901881039,1,Not Reported
62676,201901881039,2,Not Reported
62677,201901881052,1,Not Reported
62678,201901881062,1,While Talking or Listening to Mobile Phone
62679,201901881062,2,Not Reported
62680,201901881092,1,Not Distracted
62681,201901881092,2,Not Distracted
62682,201901881092,3,Not Distracted
62683,201901881094,1,Reported as Unknown if Distracted
62684,201901881094,2,Reported as Unknown if Distracted
62685,201901881097,1,Not Distracted
62686,201901881098,1,"Distraction (Distracted), Details Unknown"
62687,201901881098,2,Not Distracted
62688,201901881099,1,Not Distracted
62689,201901881099,2,Not Distracted
62690,201901881101,1,Reported as Unknown if Distracted
62691,201901881101,2,Reported as Unknown if Distracted
62692,201901881115,1,Not Distracted
62693,201901881115,2,Not Distracted
62694,201901881117,1,Not Distracted
62695,201901881117,2,Reported as Unknown if Distracted
62696,201901881126,1,Not Distracted
62697,201901881126,2,Not Distracted
62698,201901881140,1,Not Distracted
62699,201901881155,1,Not Distracted
62700,201901881209,1,Not Distracted
62701,201901881209,2,Not Distracted
62702,201901881220,1,"Distraction (Distracted), Details Unknown"
62703,201901881220,2,Not Distracted
62704,201901881244,1,"Inattention (Inattentive), Details Unknown"
62705,201901881244,2,Not Distracted
62706,201901881295,1,"Distracted by Outside Person, Object or Event"
62707,201901881295,2,Not Reported
62708,201901881295,3,Not Reported
62709,201901881295,4,Not Reported
62710,201901881325,1,Reported as Unknown if Distracted
62711,201901881325,2,Not Distracted
62712,201901881363,1,Not Distracted
62713,201901881363,2,"Inattention (Inattentive), Details Unknown"
62714,201901881371,1,Not Distracted
62715,201901881372,1,Reported as Unknown if Distracted
62716,201901881372,2,Not Distracted
62717,201901881405,1,Reported as Unknown if Distracted
62718,201901881405,2,Not Reported
62719,201901881425,1,Not Distracted
62720,201901881425,2,Not Distracted
62721,201901881437,1,Not Reported
62722,201901881437,2,No Driver Present/Unknown if Driver present
62723,201901881462,1,Not Distracted
62724,201901881462,2,Not Distracted
62725,201901881462,3,Not Distracted
62726,201901881472,1,Not Distracted
62727,201901881472,2,Not Distracted
62728,201901881482,1,Not Distracted
62729,201901881520,1,While Manipulating Mobile Phone
62730,201901881520,2,Not Reported
62731,201901881520,3,Not Reported
62732,201901881520,4,Not Reported
62733,201901881541,1,Not Reported
62734,201901881541,2,Not Reported
62735,201901881585,1,Not Distracted
62736,201901881585,2,Not Distracted
62737,201901881591,1,Not Distracted
62738,201901881591,2,Not Distracted
62739,201901881633,1,Not Distracted
62740,201901881633,2,Not Distracted
62741,201901881648,1,By Other Occupant(s)
62742,201901881676,1,Not Distracted
62743,201901881678,1,"Distraction (Distracted), Details Unknown"
62744,201901881687,1,Not Distracted
62745,201901881687,2,Not Distracted
62746,201901881693,1,Not Distracted
62747,201901881693,2,Not Distracted
62748,201901881696,1,Not Distracted
62749,201901881697,1,Not Distracted
62750,201901881697,2,Reported as Unknown if Distracted
62751,201901881737,1,While Using or Reaching for Device/Object Brought into Vehicle
62752,201901881737,2,Not Distracted
62753,201901881737,3,Not Distracted
62754,201901881813,1,Not Distracted
62755,201901881813,2,Not Distracted
62756,201901881825,1,Not Distracted
62757,201901881827,1,Reported as Unknown if Distracted
62758,201901881845,1,Reported as Unknown if Distracted
62759,201901881845,2,Not Distracted
62760,201901881845,3,Not Distracted
62761,201901881936,1,Not Reported
62762,201901881936,2,Not Reported
62763,201901881954,1,Not Reported
62764,201901881955,1,Not Reported
62765,201901881971,1,Not Reported
62766,201901881971,2,Not Reported
62767,201901881977,1,Not Reported
62768,201901881977,2,Not Reported
62769,201901881980,1,Not Reported
62770,201901881980,2,Not Reported
62771,201901881986,1,Not Distracted
62772,201901881991,1,Not Reported
62773,201901881999,1,Not Reported
62774,201901881999,2,Not Reported
62775,201901882009,1,Not Reported
62776,201901882009,2,Not Reported
62777,201901882035,1,Not Reported
62778,201901882035,2,Not Reported
62779,201901882036,1,Not Reported
62780,201901882036,2,Not Reported
62781,201901882041,1,Not Reported
62782,201901882041,2,Not Reported
62783,201901882041,3,Not Reported
62784,201901882041,4,Not Reported
62785,201901882049,1,Not Reported
62786,201901882056,1,While Using Other Component/Controls Integral to Vehicle
62787,201901882056,2,Not Reported
62788,201901882058,1,Not Reported
62789,201901882058,2,Not Reported
62790,201901882061,1,Not Reported
62791,201901882061,2,Not Reported
62792,201901882070,1,Not Reported
62793,201901882070,2,Not Reported
62794,201901882070,3,Not Distracted
62795,201901882086,1,Not Reported
62796,201901882086,2,Not Reported
62797,201901882096,1,Not Reported
62798,201901882096,2,Not Reported
62799,201901882109,1,Not Reported
62800,201901882109,2,Not Reported
62801,201901882115,1,Not Reported
62802,201901882115,2,Not Reported
62803,201901882132,1,Not Reported
62804,201901882132,2,Not Reported
62805,201901882143,1,Not Reported
62806,201901882153,1,Not Reported
62807,201901882153,2,Not Reported
62808,201901882157,1,Not Reported
62809,201901882157,2,Not Reported
62810,201901882177,1,Not Reported
62811,201901882177,2,Not Reported
62812,201901882188,1,Not Reported
62813,201901882188,2,Not Reported
62814,201901882196,1,Not Reported
62815,201901882196,2,Not Reported
62816,201901882205,1,Not Reported
62817,201901882221,1,Not Reported
62818,201901882221,2,Not Reported
62819,201901882221,3,Not Reported
62820,201901882223,1,Not Reported
62821,201901882224,1,Not Reported
62822,201901882224,2,Not Reported
62823,201901882227,1,"Distraction (Distracted), Details Unknown"
62824,201901882227,2,Not Reported
62825,201901882235,1,Not Reported
62826,201901882242,1,Not Reported
62827,201901882242,2,Not Reported
62828,201901882251,1,Not Reported
62829,201901882251,2,Not Reported
62830,201901882253,1,While Using or Reaching for Device/Object Brought into Vehicle
62831,201901882253,2,Not Reported
62832,201901882265,1,Not Reported
62833,201901882265,2,Not Reported
62834,201901882265,3,Not Reported
62835,201901882265,4,Not Reported
62836,201901882271,1,Not Reported
62837,201901882271,2,Not Reported
62838,201901882278,1,Not Reported
62839,201901882278,2,Not Reported
62840,201901882281,1,Not Reported
62841,201901882281,2,Not Reported
62842,201901882287,1,Not Reported
62843,201901882287,2,Not Reported
62844,201901882292,1,Not Reported
62845,201901882292,2,Not Reported
62846,201901882292,3,Not Reported
62847,201901882293,1,Not Reported
62848,201901882293,2,Not Reported
62849,201901882304,1,Not Distracted
62850,201901882304,2,Not Reported
62851,201901882306,1,Not Reported
62852,201901882306,2,Not Reported
62853,201901882332,1,Not Reported
62854,201901882332,2,Not Reported
62855,201901882339,1,Not Reported
62856,201901882339,2,Not Reported
62857,201901882344,1,Not Reported
62858,201901882344,2,Not Reported
62859,201901882348,1,Not Reported
62860,201901882348,2,Not Reported
62861,201901882348,3,Not Reported
62862,201901882356,1,Not Reported
62863,201901882356,2,Not Reported
62864,201901882364,1,Distraction/Inattention
62865,201901882364,2,Not Reported
62866,201901882364,3,Not Reported
62867,201901882367,1,Not Reported
62868,201901882367,2,Not Reported
62869,201901882367,3,Not Reported
62870,201901882372,1,Not Reported
62871,201901882376,1,Not Reported
62872,201901882376,2,Not Reported
62873,201901882385,1,Not Reported
62874,201901882385,2,Not Reported
62875,201901882401,1,Not Distracted
62876,201901882404,1,Not Distracted
62877,201901882404,2,While Manipulating Mobile Phone
62878,201901882411,1,Not Distracted
62879,201901882414,1,Not Distracted
62880,201901882415,1,Not Distracted
62881,201901882415,2,Not Distracted
62882,201901882416,1,Not Distracted
62883,201901882416,2,Not Distracted
62884,201901882419,1,Not Distracted
62885,201901882419,2,Not Distracted
62886,201901882426,1,Not Distracted
62887,201901882426,2,Not Distracted
62888,201901882427,1,Not Distracted
62889,201901882427,2,Not Distracted
62890,201901882429,1,Not Distracted
62891,201901882429,2,Not Distracted
62892,201901882433,1,Not Distracted
62893,201901882433,2,"Distraction (Distracted), Details Unknown"
62894,201901882435,1,Not Distracted
62895,201901882435,2,Not Distracted
62896,201901882435,3,Not Distracted
62897,201901882440,1,Not Reported
62898,201901882440,2,Not Distracted
62899,201901882441,1,Not Distracted
62900,201901882441,2,Not Distracted
62901,201901882447,1,Not Distracted
62902,201901882447,2,Not Distracted
62903,201901882449,1,Not Reported
62904,201901882449,2,Not Reported
62905,201901882450,1,Not Distracted
62906,201901882450,2,Not Reported
62907,201901882452,1,Not Distracted
62908,201901882452,2,Not Distracted
62909,201901882459,1,Not Distracted
62910,201901882464,1,"Distraction (Distracted), Details Unknown"
62911,201901882464,2,Not Distracted
62912,201901882467,1,By Other Occupant(s)
62913,201901882468,1,Not Distracted
62914,201901882469,1,Not Distracted
62915,201901882470,1,Not Distracted
62916,201901882470,2,Not Distracted
62917,201901882471,1,Not Distracted
62918,201901882471,2,Not Distracted
62919,201901882472,1,Not Distracted
62920,201901882473,1,Not Distracted
62921,201901882473,2,Not Distracted
62922,201901882475,1,Not Distracted
62923,201901882480,1,Not Distracted
62924,201901882480,2,Not Distracted
62925,201901882481,1,Not Distracted
62926,201901882482,1,Not Distracted
62927,201901882482,2,Not Distracted
62928,201901882490,1,Not Distracted
62929,201901882490,2,Not Distracted
62930,201901882493,1,Not Distracted
62931,201901882493,2,Not Distracted
62932,201901882496,1,Not Distracted
62933,201901882499,1,Not Distracted
62934,201901882502,1,Not Reported
62935,201901882504,1,Not Distracted
62936,201901882504,2,Not Distracted
62937,201901882505,1,Not Distracted
62938,201901882508,1,Not Distracted
62939,201901882511,1,Not Distracted
62940,201901882512,1,Not Distracted
62941,201901882512,2,Not Distracted
62942,201901882513,1,"Distracted by Outside Person, Object or Event"
62943,201901882513,2,No Driver Present/Unknown if Driver present
62944,201901882513,3,No Driver Present/Unknown if Driver present
62945,201901882515,1,Not Distracted
62946,201901882516,1,Not Distracted
62947,201901882517,1,Not Distracted
62948,201901882517,2,Not Distracted
62949,201901882518,1,Not Distracted
62950,201901882518,2,Not Distracted
62951,201901882520,1,Not Distracted
62952,201901882521,1,Not Distracted
62953,201901882523,1,Not Distracted
62954,201901882531,1,Not Distracted
62955,201901882532,1,Not Reported
62956,201901882538,1,Not Distracted
62957,201901882562,1,Not Reported
62958,201901882579,1,Not Distracted
62959,201901882579,2,Not Distracted
62960,201901882582,1,Not Reported
62961,201901882585,1,Not Reported
62962,201901882585,2,Not Distracted
62963,201901882595,1,Not Distracted
62964,201901882631,1,Not Reported
62965,201901882631,2,Not Distracted
62966,201901882638,1,Not Distracted
62967,201901882638,2,Not Distracted
62968,201901882652,1,Not Distracted
62969,201901882652,2,Not Distracted
62970,201901882677,1,Not Distracted
62971,201901882677,2,Not Distracted
62972,201901882677,3,Not Distracted
62973,201901882703,1,Not Distracted
62974,201901882719,1,Not Distracted
62975,201901882719,2,Not Distracted
62976,201901882719,3,Not Distracted
62977,201901882721,1,Not Distracted
62978,201901882729,1,Not Distracted
62979,201901882729,2,Not Distracted
62980,201901882735,1,Not Distracted
62981,201901882735,2,Not Distracted
62982,201901882735,3,Not Distracted
62983,201901882735,4,Not Distracted
62984,201901882782,1,Not Distracted
62985,201901882782,2,Not Distracted
62986,201901882800,1,"Distracted by Outside Person, Object or Event"
62987,201901882800,2,Not Distracted
62988,201901882816,1,Not Reported
62989,201901882816,2,Not Distracted
62990,201901882829,1,Not Distracted
62991,201901882829,2,Not Distracted
62992,201901882829,3,Not Distracted
62993,201901882851,1,Not Distracted
62994,201901882851,2,Not Distracted
62995,201901882852,1,Not Distracted
62996,201901882852,2,Not Distracted
62997,201901882861,1,Not Distracted
62998,201901882866,1,"Distracted by Outside Person, Object or Event"
62999,201901882866,2,Not Distracted
63000,201901882866,3,Not Distracted
63001,201901882866,4,Not Distracted
63002,201901882882,1,Not Distracted
63003,201901882882,2,Not Distracted
63004,201901882885,1,Not Distracted
63005,201901882885,2,Not Distracted
63006,201901882885,3,Not Distracted
63007,201901882902,1,Not Distracted
63008,201901882902,2,Not Distracted
63009,201901882910,1,Not Distracted
63010,201901882910,2,Not Distracted
63011,201901882920,1,Not Distracted
63012,201901882923,1,Not Distracted
63013,201901882923,2,Not Distracted
63014,201901882923,3,Not Distracted
63015,201901882923,4,Not Distracted
63016,201901882962,1,Not Distracted
63017,201901882962,2,Not Distracted
63018,201901882988,1,Not Distracted
63019,201901882988,2,Not Distracted
63020,201901883006,1,Not Distracted
63021,201901883006,2,Not Distracted
63022,201901883024,1,Not Reported
63023,201901883024,2,Not Distracted
63024,201901883045,1,Not Distracted
63025,201901883062,1,Not Distracted
63026,201901883062,2,Not Distracted
63027,201901883083,1,Not Distracted
63028,201901883083,2,Not Distracted
63029,201901883094,1,Not Distracted
63030,201901883094,2,Not Distracted
63031,201901883109,1,Not Distracted
63032,201901883109,2,Not Distracted
63033,201901883111,1,Not Distracted
63034,201901883111,2,Not Distracted
63035,201901883113,1,Not Reported
63036,201901883174,1,Not Distracted
63037,201901883174,2,Not Reported
63038,201901883190,1,Not Distracted
63039,201901883190,2,Not Distracted
63040,201901883199,1,Not Distracted
63041,201901883200,1,Not Reported
63042,201901883207,1,Not Distracted
63043,201901883207,2,Not Distracted
63044,201901883212,1,Not Distracted
63045,201901883212,2,Not Distracted
63046,201901883212,3,Not Distracted
63047,201901883263,1,Not Distracted
63048,201901883265,1,Not Distracted
63049,201901883265,2,Not Distracted
63050,201901883302,1,Not Reported
63051,201901883311,1,Not Distracted
63052,201901883311,2,Not Distracted
63053,201901883314,1,Not Distracted
63054,201901883321,1,Not Distracted
63055,201901883321,2,Not Distracted
63056,201901883328,1,Not Distracted
63057,201901883328,2,Not Distracted
63058,201901883330,1,Not Reported
63059,201901883330,2,Not Distracted
63060,201901883351,1,"Distracted by Outside Person, Object or Event"
63061,201901883351,2,Not Distracted
63062,201901883351,3,Not Distracted
63063,201901883371,1,Not Reported
63064,201901883371,2,Not Distracted
63065,201901883380,1,Not Reported
63066,201901883380,2,Not Distracted
63067,201901883380,3,Not Distracted
63068,201901883394,1,Not Reported
63069,201901883394,2,Not Distracted
63070,201901883395,1,Not Distracted
63071,201901883395,2,Not Distracted
63072,201901883408,1,Not Distracted
63073,201901883420,1,Not Distracted
63074,201901883429,1,Not Reported
63075,201901883429,2,Not Distracted
63076,201901883468,1,"Distraction (Distracted), Details Unknown"
63077,201901883468,2,Not Distracted
63078,201901883485,1,Not Distracted
63079,201901883485,2,Not Distracted
63080,201901883485,3,Not Distracted
63081,201901883501,1,Not Distracted
63082,201901883501,2,Not Distracted
63083,201901883517,1,Not Reported
63084,201901883517,2,Not Distracted
63085,201901883520,1,Not Reported
63086,201901883520,2,Not Distracted
63087,201901883537,1,Not Distracted
63088,201901883545,1,Reported as Unknown if Distracted
63089,201901883545,2,Not Reported
63090,201901883553,1,Not Reported
63091,201901883553,2,Not Distracted
63092,201901883553,3,Not Distracted
63093,201901883555,1,Not Reported
63094,201901883555,2,Not Distracted
63095,201901883557,1,Not Reported
63096,201901883557,2,Not Distracted
63097,201901883564,1,Not Reported
63098,201901883564,2,Not Reported
63099,201901883566,1,Not Reported
63100,201901883566,2,Not Distracted
63101,201901883570,1,Not Distracted
63102,201901883570,2,Not Distracted
63103,201901883571,1,Not Distracted
63104,201901883571,2,Not Distracted
63105,201901883577,1,Not Reported
63106,201901883577,2,Not Reported
63107,201901883579,1,Not Distracted
63108,201901883579,2,Not Reported
63109,201901883580,1,Not Reported
63110,201901883582,1,Not Distracted
63111,201901883582,2,Not Distracted
63112,201901883585,1,Not Reported
63113,201901883585,2,No Driver Present/Unknown if Driver present
63114,201901883589,1,Not Distracted
63115,201901883589,2,Not Distracted
63116,201901883592,2,Not Reported
63117,201901883612,1,Not Distracted
63118,201901883612,2,Not Distracted
63119,201901883615,1,Not Distracted
63120,201901883615,2,Not Distracted
63121,201901883616,1,Not Distracted
63122,201901883616,2,Not Distracted
63123,201901883621,1,Not Distracted
63124,201901883621,2,Not Distracted
63125,201901883636,1,Not Distracted
63126,201901883636,2,Not Distracted
63127,201901883643,1,Not Distracted
63128,201901883643,2,Not Distracted
63129,201901883656,1,Not Distracted
63130,201901883656,2,Not Distracted
63131,201901883660,1,Not Distracted
63132,201901883660,2,Not Distracted
63133,201901883666,1,Not Distracted
63134,201901883666,2,Not Distracted
63135,201901883670,1,Reported as Unknown if Distracted
63136,201901883670,2,Not Distracted
63137,201901883679,1,Not Distracted
63138,201901883691,1,Not Distracted
63139,201901883691,2,Not Distracted
63140,201901883707,1,"Distracted by Outside Person, Object or Event"
63141,201901883707,2,Not Distracted
63142,201901883715,1,Not Distracted
63143,201901883716,1,"Distraction (Distracted), Details Unknown"
63144,201901883716,2,Not Distracted
63145,201901883717,1,Not Distracted
63146,201901883717,2,Not Distracted
63147,201901883720,1,"Distraction (Distracted), Details Unknown"
63148,201901883720,2,Not Distracted
63149,201901883722,1,Not Distracted
63150,201901883723,1,Not Distracted
63151,201901883723,2,Not Distracted
63152,201901883728,1,Not Distracted
63153,201901883731,1,Not Distracted
63154,201901883731,2,Not Distracted
63155,201901883733,1,Not Distracted
63156,201901883733,2,Not Distracted
63157,201901883734,1,Not Distracted
63158,201901883734,2,Not Distracted
63159,201901883735,1,Not Distracted
63160,201901883737,1,"Distracted by Outside Person, Object or Event"
63161,201901883737,2,Not Distracted
63162,201901883740,1,"Distracted by Outside Person, Object or Event"
63163,201901883743,1,Not Distracted
63164,201901883744,1,While Using or Reaching for Device/Object Brought into Vehicle
63165,201901883747,1,Not Distracted
63166,201901883748,1,Not Distracted
63167,201901883751,1,Not Distracted
63168,201901883751,2,Not Distracted
63169,201901883752,1,"Distracted by Outside Person, Object or Event"
63170,201901883752,2,Not Distracted
63171,201901883753,1,Eating or Drinking
63172,201901883753,2,Not Distracted
63173,201901883755,1,Not Distracted
63174,201901883755,2,Not Distracted
63175,201901883757,1,Not Distracted
63176,201901883757,2,Not Distracted
63177,201901883759,1,Not Distracted
63178,201901883759,2,Not Distracted
63179,201901883762,1,Not Distracted
63180,201901883762,2,Not Distracted
63181,201901883763,1,Not Distracted
63182,201901883763,2,Not Distracted
63183,201901883764,1,Not Distracted
63184,201901883764,2,Not Distracted
63185,201901883765,1,"Distraction (Distracted), Details Unknown"
63186,201901883768,1,Not Distracted
63187,201901883768,2,Not Distracted
63188,201901883769,1,Not Distracted
63189,201901883769,2,Not Distracted
63190,201901883772,1,Not Distracted
63191,201901883772,2,Not Distracted
63192,201901883779,1,Not Reported
63193,201901883792,1,Not Distracted
63194,201901883792,2,Not Distracted
63195,201901883794,1,Reported as Unknown if Distracted
63196,201901883799,1,Not Distracted
63197,201901883799,2,Not Distracted
63198,201901883805,1,Not Reported
63199,201901883805,2,Not Reported
63200,201901883806,1,Not Reported
63201,201901883822,1,Not Reported
63202,201901883870,1,Not Distracted
63203,201901883870,2,Not Distracted
63204,201901883870,3,Not Distracted
63205,201901883876,1,Not Distracted
63206,201901883876,2,Reported as Unknown if Distracted
63207,201901883897,1,Not Distracted
63208,201901883904,1,While Using or Reaching for Device/Object Brought into Vehicle
63209,201901883904,2,Not Distracted
63210,201901883910,1,Reported as Unknown if Distracted
63211,201901883910,2,Reported as Unknown if Distracted
63212,201901883923,1,Not Distracted
63213,201901883923,2,Reported as Unknown if Distracted
63214,201901883924,1,Not Distracted
63215,201901883924,2,Not Distracted
63216,201901884011,1,Reported as Unknown if Distracted
63217,201901884042,1,Reported as Unknown if Distracted
63218,201901884042,2,Not Distracted
63219,201901884056,1,Not Reported
63220,201901884059,1,Not Reported
63221,201901884059,2,Not Reported
63222,201901884059,3,Not Reported
